"Area","M49","mean_production","sd_production"
"Africa",2,2265934.832,127160.125800117
"Albania",8,9890.938,1564.4823760976
"Algeria",12,143.118,4.70643920602402
"Americas",19,31554297.904,654637.76671794
"Angola",24,177279.398,19766.3201084653
"Antigua and Barbuda",28,61.222,9.95522325214257
"Argentina",32,956170.984,52784.7076528888
"Armenia",51,19319.476,728.581480570293
"Asia",142,69929995.84,8091705.15301107
"Australia",36,512989.254,22202.4237147553
"Australia and New Zealand",53,561571.87,21409.9147916976
"Austria",40,541780.94,50272.3598318992
"Azerbaijan",31,563.924,8.01792242416951
"Bahamas",44,367.336,0.790145556210992
"Barbados",52,3654.69,482.583541265137
"Belarus",112,452296.55,21324.6297724251
"Belgium",56,1141771.972,128322.438143238
"Belgium-Luxembourg",58,0,0
"Belize",84,2499.422,98.1181469963636
"Benin",204,11101.292,1520.06399837967
"Bhutan",64,1307.378,405.163522630061
"Bolivia (Plurinational State of)",68,130200.804,5827.20374958522
"Bosnia and Herzegovina",70,9255.45,803.053105529143
"Botswana",72,592.17,343.935997461737
"Brazil",76,6161044.468,532889.770401052
"Brunei Darussalam",96,49.828,8.81470192349123
"Bulgaria",100,86694.65,9100.58203726003
"Burkina Faso",854,251265.308,71403.8120212571
"Burundi",108,13639.034,2489.36873703556
"Cabo Verde",132,2747.59,77.5476959683523
"Cambodia",116,121467.298,4446.82207959459
"Cameroon",120,54235.82,4219.58801964718
"Canada",124,2703622.958,80067.7654812364
"Caribbean",29,384464.714,48363.5824173559
"Central African Republic",140,22113.72,173.302746227519
"Central America",13,2272333.264,66794.8152198512
"Central Asia",143,91816.588,10450.3889825461
"Chad",148,2846.168,17.6288774458274
"Chile",152,646907.24,23533.6968929778
"China",159,58021920.468,8121691.5771714
"China, Hong Kong SAR",344,158047.258,13769.871352134
"China, Macao SAR",446,6037.324,175.178872099349
"China, Taiwan Province of",158,966346.632,35263.2201575972
"China, mainland",156,56891489.268,8158096.53445096
"Colombia",170,530013.98,57980.5654459867
"Congo",178,1485.23,107.122134034008
"Cook Islands",184,479.422,38.6942272180231
"Costa Rica",188,82916.576,5316.82772995609
"Croatia",191,123218,8779.46012007572
"Cuba",192,207552.072,52697.7500645594
"Cyprus",196,41416,2646.31441820506
"Czechia",203,252951.13,26786.2808207971
"Czechoslovakia",200,0,0
"Côte d'Ivoire",384,12002.196,539.23819257356
"Democratic People's Republic of Korea",408,127173.56,4947.07607303041
"Democratic Republic of the Congo",180,32840.232,2305.88927448176
"Denmark",208,1590109.876,187268.915056586
"Dominica",212,469.006,0.889398673261892
"Dominican Republic",214,110035.858,12651.4133843919
"Eastern Africa",14,849084.786,102166.415065929
"Eastern Asia",30,61478077.52,8135877.5373717
"Eastern Europe",151,10554254.45,357273.85361349
"Ecuador",218,235786.916,36153.908530743
"Egypt",818,920.44,62.9862556435926
"El Salvador",222,9028.558,2741.64147041877
