"M49","vezes_infectado","total_simulacoes","probabilidade","country","min","max","mais_prov"
724,421,1000,0.421,"Spain",0.390265790775767,0.452348697046752,0.421
380,403,1000,0.403,"Italy",0.372534178370896,0.434220398466909,0.403
208,231,1000,0.231,"Denmark",0.205458053097609,0.258640043254003,0.231
250,224,1000,0.224,"France",0.198765756875944,0.251387374467445,0.224
620,221,1000,0.221,"Portugal",0.195900798522413,0.248275934090478,0.221
156,43,1000,0.043,"China, mainland",0.0316495416398301,0.057985617037431,0.043
764,38,1000,0.038,"Thailand",0.0273848211327237,0.0522983770844912,0.038
158,23,1000,0.023,"China, Taiwan Province of",0.0149729353334772,0.0348702021416046,0.023
840,16,1000,0.016,"United States of America",0.00949067253880736,0.026444869261271,0.016
32,0,1000,0,"Argentina",0,0.00477072937162686,0
124,0,1000,0,"Canada",0,0.00477072937162686,0
152,0,1000,0,"Chile",0,0.00477072937162686,0
578,0,1000,0,"Norway",0,0.00477072937162686,0
600,0,1000,0,"Paraguay",0,0.00477072937162686,0
