"M49","mean_animals","sd_animals"
32,5143386.45454545,428527.039502845
124,13718181.8181818,547139.254336923
152,2672705.72727273,139987.985104502
156,437407732.363636,47557966.2834536
158,5517992.27272727,225372.101173189
159,442925724.636364,47624437.6190316
208,12405262.4545455,604477.327589772
250,13006736.5454545,597236.48445107
380,8620437.54545454,207162.021900909
578,808777.727272727,43661.5640995393
600,1296664.54545455,46653.3240817064
620,2182024.54545455,70095.0055800891
724,30619029.7272727,3033681.90489672
764,7710281.27272727,74900.1572402767
840,72904381.8181818,4228432.83328899
