Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2013","2013","An","4221954","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2014","2014","An","4692103","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2015","2015","An","5011446","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2016","2016","An","5119438","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2017","2017","An","5119438","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2018","2018","An","5191453","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2019","2019","An","5128954","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2020","2020","An","5376958","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2021","2021","An","5350999","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2022","2022","An","5477107","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2023","2023","An","5887401","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2013","2013","An","12745000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2014","2014","An","12835000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2015","2015","An","13180000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2016","2016","An","13630000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2017","2017","An","13935000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2018","2018","An","14245000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2019","2019","An","14070000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2020","2020","An","14065000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2021","2021","An","14120000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2022","2022","An","14170000","A","Official figure",""
"QCL","Crops and livestock products","124","Canada","5111","Stocks","02140","Swine / pigs","2023","2023","An","13905000","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2013","2013","An","2798868","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2014","2014","An","2431449","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2015","2015","An","2696765","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2016","2016","An","2614670","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2017","2017","An","2505503","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2018","2018","An","2608205","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5111","Stocks","02140","Swine / pigs","2019","2019","An","2566782","A","Official figure",""
