"M49","ISO3","Países","prP_mean","prP_025","prP_975"
32,"ARG","Argentina","3.28e-09","2.19e-11","1.68e-08"
124,"CAN","Canadá","1.41e-07","8.27e-10","8.94e-07"
152,"CHL","Chile","3.55e-06","2.09e-08","1.88e-05"
156,"CHN","China","4.37e-07","1.51e-08","2.22e-06"
208,"DNK","Dinamarca","3.16e-05","8.56e-07","1.60e-04"
724,"ESP","Espanha","1.95e-04","8.20e-06","8.82e-04"
250,"FRA","França","6.06e-07","2.13e-08","2.44e-06"
380,"ITA","Itália","2.70e-04","8.39e-06","8.88e-04"
600,"PRY","Paraguai","9.47e-07","6.74e-09","4.81e-06"
620,"PRT","Portugal","2.22e-05","8.08e-07","7.42e-05"
764,"THA","Tailândia","2.11e-07","7.17e-09","7.44e-07"
158,"TWN","Taiwan (Formosa)","3.55e-08","1.65e-09","1.60e-07"
NA,"","All","5.25e-04","1.83e-05","2.03e-03"
